Title,Author,Moral,Content
The Magic Coins,,Honesty,"There was once a rich and kindly old man who, reaching the end of his days, decided to leave his possessions to some honest and intelligent young man. Speaking of this decision, he told a good friend that he wanted to choose wisely. The friend advised him,

“The next time you sell something, and are giving the customer their change, make sure you give them too much. The customer who returns the extra money to you, you will know that they are honest”.

The rich man thanked his friend for the advice, and thinking it a good idea, and easy to carry out, he decided to try it.

What he did not know was this. One of those present during the conversation – a neighbour who pretended to be his friend, but was really very envious of the rich old man – hired the services of a wizard. He paid the wizard to cast a spell on the rich old man’s coins. The spell would mean that anyone who saw coins touched by the old man, rather than seeing them as coins, would see them as that which the customer wanted most in the world.

With this plan, the envious neighbour believed that no customer would return the old man’s change, and, having no one to leave his money to, the old man would leave it all to the neighbour’s young nephew.

Indeed, everything went according to plan for the greedy neighbour, and not a single customer was able to return the enchanted coins. Some saw in these coins the biggest diamond or precious stone, others saw a work of art, some saw a relic, and some saw a miraculous healing potion. When the old man had almost given up trying to find an honest person, the greedy neighbour sent his nephew to the old man’s business, taking great care to instruct the boy to return the old man’s money. The nephew was determined to do so, but on receiving the enchanted coins he saw in them all the possessions and honours of his own uncle. Believing that what his uncle had told him was a trick, he left with his useless coins and his greed, to no end, since when his uncle learned of this betrayal, he made his nephew banish forever.

The rich old man, sick and depressed, decided to call his servants before he died. He gave them some possessions so that they could live freely when he was no longer with them. Among these servants was a youth, who received some portion of this money by mistake. The youth, raised in the house of the wise and just old man, who he loved like a father, saw, in place of the money, a powerful medicine which would cure the old man, since this was truly what he most wanted in the world. On seeing this, the youth offered the money back to the old man, saying “Take this, Sir, it’s for you; it will make you feel better.”

And the return of that simple coin indeed acted like the most miraculous of cures. The old man leapt with joy at having finally found an honest person, and it filled him with joy to find that this honest person had always been in his very own house.

And so, the young servant went on to manage, with great justice, generosity and honesty, all the old man’s possessions and business concerns. And the old man went on to accompany and advise him like a son for many more years."
Kroaker the bullfrog,,Brave,"Not long ago, in a crystal-clear river, near a small town lived two very big fish.
In fact, they were so big that they were not afraid of anything.
They swam anywhere they wanted.
They tangled the lines of children fishing in their river.
They ate when they were hungry and splashed anyone sitting on the bank.
They were the big, brave rulers of the crystal-clear river.
One day, a large bullfrog and his family moved into the area.
The bullfrog saw the two big, brave fish in the crystal-clear river and wanted to talk to them.
But he was afraid.
He didn’t know a lot about the crystal-clear river,or the big brave fish that lived there, and was afraid of being eaten.
For a long time he watched the big, brave fish, the crystal-clear river, and everything around him to make sure it was safe.
The bullfrog was very smart and used his common sense to guide him.
Then, with a mighty hop, he jumped into the crystal-clear river to introduce himself.
“I’m Kroaker, the biggest and smartest bullfrog in the world.” he said.
“Is that so?” replied one of the fish.
“We are the biggest and bravest fish in the crystal-clear river.”
The other fish looked at Kroaker and said. “If you are nice we may let you share our water.”
The three talked and over time, the two big, brave fish and Kroaker became friends.
Every day the three of them would meet at the same spot in the crystal-clear river to eat, talk, and play.
Late one evening, as the three were talking, two fishermen passed by.
Kroaker saw them, and common sense told him to hop into the water and hide under the bank.
The two big, brave fish slowly swam in circles so the fishermen could see just how big they were.
One of the fishermen saw them and said, “This crystal-clear river has some really big fish. Let’s come back tomorrow morning and catch them.”
As the fishermen turned and walked away, they discussed what type of bait might work best to catch big, brave fish.
“Worms.” said one.
“No,sausages.” said the other, and they continued their discussion as they walked the twisty path along the crystal-clear river’s edge.
The two big, brave fish and the Kroaker overheard the fishermen.
“My friends,” said Kroaker. “Did you hear what they said? You should swim away and hide.
I am afraid they may catch and eat me, so I will take my family to a nearby pond to be safe.”
The two big, brave fish bubbled out laughs as they jumped in and out of the water.
One said, “My dear bullfrog friend, do not fear.”
Kroaker looked at the two brave fish and said, “I would rather be safe than sorry.”
“From what I heard they might come back so I will leave with my family to the safety of the pond, take care.”
Kroaker left and the two big, brave fish swam to the bottom of the crystal-clear river.
The next morning, just after sunrise, the two fishermen returned to the crystal-clear river where the day before they had seen the two big, brave fish.
They walked slowly and quietly so as not to disturb them. 
“Look,” whispered one of the fishermen,“there they are.”
The fishermen gently cast their bait and let it slowly drift in the current to attract the big, brave fish. It worked!
In moments, each had hooked one of the big, brave fish.
Then the battle between the fishermen and the fish began.
The big, brave fish used all their tricks to free themselves.
They dived deep, swam fast, and leaped from the water,
thrashing their tail and head in an attempt to get free.
The battle raged for over ten minutes but in the end, the big, brave fish were no match for the fishermen.
They were caught!
Kroaker watched from the safety of the tall grass that separated the pond from the bank of the crystal-clear river.
Oh, the anglers were excited!
Each had caught a big brave fish on their first cast of the day.
What a story they had to tell when they returned home!
Kroaker carefully hopped back to the pond and told his family what he had seen.
“Both my big, brave fish friends were very talented, and still they were caught.But I, with only common sense, saved my family. It is lonely without them. I will miss them.”
“We have to learn a lesson from this,” said Kroaker to his family.
“At the first sign of danger, use common sense and act quickly and courageously to save yourself.”"
Kroaker the bullfrog,,Friendship,"Not long ago, in a crystal-clear river, near a small town lived two very big fish.
In fact, they were so big that they were not afraid of anything.
They swam anywhere they wanted.
They tangled the lines of children fishing in their river.
They ate when they were hungry and splashed anyone sitting on the bank.
They were the big, brave rulers of the crystal-clear river.
One day, a large bullfrog and his family moved into the area.
The bullfrog saw the two big, brave fish in the crystal-clear river and wanted to talk to them.
But he was afraid.
He didn’t know a lot about the crystal-clear river,or the big brave fish that lived there, and was afraid of being eaten.
For a long time he watched the big, brave fish, the crystal-clear river, and everything around him to make sure it was safe.
The bullfrog was very smart and used his common sense to guide him.
Then, with a mighty hop, he jumped into the crystal-clear river to introduce himself.
“I’m Kroaker, the biggest and smartest bullfrog in the world.” he said.
“Is that so?” replied one of the fish.
“We are the biggest and bravest fish in the crystal-clear river.”
The other fish looked at Kroaker and said. “If you are nice we may let you share our water.”
The three talked and over time, the two big, brave fish and Kroaker became friends.
Every day the three of them would meet at the same spot in the crystal-clear river to eat, talk, and play.
Late one evening, as the three were talking, two fishermen passed by.
Kroaker saw them, and common sense told him to hop into the water and hide under the bank.
The two big, brave fish slowly swam in circles so the fishermen could see just how big they were.
One of the fishermen saw them and said, “This crystal-clear river has some really big fish. Let’s come back tomorrow morning and catch them.”
As the fishermen turned and walked away, they discussed what type of bait might work best to catch big, brave fish.
“Worms.” said one.
“No,sausages.” said the other, and they continued their discussion as they walked the twisty path along the crystal-clear river’s edge.
The two big, brave fish and the Kroaker overheard the fishermen.
“My friends,” said Kroaker. “Did you hear what they said? You should swim away and hide.
I am afraid they may catch and eat me, so I will take my family to a nearby pond to be safe.”
The two big, brave fish bubbled out laughs as they jumped in and out of the water.
One said, “My dear bullfrog friend, do not fear.”
Kroaker looked at the two brave fish and said, “I would rather be safe than sorry.”
“From what I heard they might come back so I will leave with my family to the safety of the pond, take care.”
Kroaker left and the two big, brave fish swam to the bottom of the crystal-clear river.
The next morning, just after sunrise, the two fishermen returned to the crystal-clear river where the day before they had seen the two big, brave fish.
They walked slowly and quietly so as not to disturb them. 
“Look,” whispered one of the fishermen,“there they are.”
The fishermen gently cast their bait and let it slowly drift in the current to attract the big, brave fish. It worked!
In moments, each had hooked one of the big, brave fish.
Then the battle between the fishermen and the fish began.
The big, brave fish used all their tricks to free themselves.
They dived deep, swam fast, and leaped from the water,
thrashing their tail and head in an attempt to get free.
The battle raged for over ten minutes but in the end, the big, brave fish were no match for the fishermen.
They were caught!
Kroaker watched from the safety of the tall grass that separated the pond from the bank of the crystal-clear river.
Oh, the anglers were excited!
Each had caught a big brave fish on their first cast of the day.
What a story they had to tell when they returned home!
Kroaker carefully hopped back to the pond and told his family what he had seen.
“Both my big, brave fish friends were very talented, and still they were caught.But I, with only common sense, saved my family. It is lonely without them. I will miss them.”
“We have to learn a lesson from this,” said Kroaker to his family.
“At the first sign of danger, use common sense and act quickly and courageously to save yourself.”"
Brave rima,,Brave,"Rima went to the fair with her uncle. 
It was a Boishakhi fair! 
So many colours everywhere. 
Red, white, and all the others. Uncle especially loved red.
There were so many shops! And so many things to buy!
Rima looked at everything in wonder.
Suddenly… she didn't see her uncle.
Where did Uncle go?
He was nowhere to be seen! Rima was afraid.
But she did not lose courage.
I know how to find lost things and be brave, Rima thought.
I will explore the fair and look for Uncle!
A crowd was gathered under a tree watching the snake act.
Rima called out.
But Uncle was not there.
Maybe he is buying a doll for me! Rima thought. 
She ran to the doll shop.
Rima called out.
But Uncle was not there.
Where did Uncle go?
Perhaps he has gone to the red merry-go-round, Rima thought.
So she ran there determined to find her uncle.
Rima called out.
But Uncle was not there.
Then Rima saw a man nearby. 
He was wearing a red panjabi like Uncle's!
Rima called loudly, “UNCLE!”
The man turned to look at Rima.
“Oh, dear. Have you lost your Uncle?” he asked.
Rima saw balloons flying above a tree. Near the tree she saw a boy. 
He was all alone and he was crying.
“What happened?"" Rima asked. ""Why are you crying?”
But the boy didn’t stop. “MAAAA! BABAAAA!” he cried.
Rima knew just what to do. 
She took the boy to the closest microphone. ""This boy needs our help, "" she told the announcer. 
""Please tell his parents he is right here!""
The boy's parents arrived soon.
They were so happy. 
But where was Rima's uncle?
Wait.. is that..
“UNCLE!”
They rushed towards each other. Uncle said,
“Where have you been? I looked everywhere for you.”
“I was looking for you!"" Rima answered. 
""But Uncles shouldn't need children to look for them!”"
The green chicken,,Brave,"In the corner of the farmyard, two eggs lay on a pile of straw.
The mother hen sat on them all day and got up only to drink water and eat something in a hurry.
One day a strange big egg rolled down from the hill next to the farm, it came under the fence and stopped right next to the nest with the two eggs.
“Hey! Someone dropped their egg!” cried the hen.
“Come and take it quickly before it cools down!”
Nobody answered. There was no one on the hill.
The hen wondered what to do.
Finally she pushed the egg close to hers to keep it warm in the nest.
All three eggs hatched at the same time and the mother named them Chick, Chip and Chop.
When they went for their first walk in the yard, everyone stared at Chop.
“Hahaha ... What a funny chicken!”
“Look at his fluff! But this is not even fluff, but some scaly stuff!”
“It's all green...This is so weird!”
“Urgh... disgusting…”
Although he was a strange chicken, Chop was very determined.
He tried his best to do everything his brothers did - dig for worms, flap his wings, squeak in a gruff voice.
Chick and Chip tried to help him, but it just didn't work.
All the animals on the farm chased and mocked him.
The worst was the rooster, who constantly bit and insulted him.
“What an ugly and incompetent chicken...a disgrace to the farm. He is completely worthless!”
No one was playing or talking to him except his brothers and his mother.
In the evening, after everyone fell asleep, Chop would go out into the yard, look at the sky and wish on every shooting star he could become a normal chicken.
One night a fox sneaked into the farm and grabbed Chick and Chip.
Everyone panicked... feathers scattered everywhere.
""Help!"" Chick and Chip, afraid, started shouting. 
Their mother rushed
to save them, but the fox grabbed her by the throat.
All the hens and chickens clumped together in the corner of the coop, and the fox blocked the way out.
""So ... three so far,"" the fox smiled smugly. 
""I need one more because I am expecting guests tomorrow. Any volunteers?”
""Take whoever you want,"" said the rooster cowardly, ""but it's best to get some little chicken with tender meat. You won’t want me, I am very chewy.”
""Okay ... I'm going to get ... I'm going to get…"" the fox began to wonder.
At that moment the fox heard something behind him. It was Chop: “Let them go!”
“Aaaaaaa!” cried the fox and dropped his prey. “Noooo… My tail!”
“You want one more chicken? Here I am!” Chop gritted his teeth.
“I changed my mind!” said the fox. “I don't want chickens anymore. Please let me go. It is so painful…”
""I don’t want to see you ever again!"" Chop said, still biting the fox’s tail.
""I promise! I will not set foot here again. Just let me go.”
Chop opened his mouth and the fox ran away.
Chick, Chip and their mother rose from the ground, still frightened but unharmed.
""Wow... That was amazing!"" Chip shouted, catching his breath. ""You looked so cool confronting him!""
""Chop, you're the bravest and the most courageous chicken in the world!"" said Chick and hugged him.
When Chop went out into the yard the next morning, all the chickens gathered around him.
“We will go and play football with the ducks. Do you want to come?”
“Well, I've never played football before... I'll just get in the way” said Chop.
“No problem. We will teach you. It's much easier than fighting a fox.”
""Ok, I'll come."" Chop smiled, and for the first time he felt like a real chicken."
The Cave of Fear,,Brave,"There was once a town where the thing everyone feared the most was getting lost at night in the dangerous ""Cave of Fear"". No one had ever returned from there, and whenever anyone got lost and ended up there, the last that was heard was a great cry of terror, followed by a few enormous guffaws. The townsfolk lived in terror that one day the monster would leave the cave. So they regularly left gifts and food at the mouth of the cave, and these always soon disappeared.

One day, a young brave man came to town, and, as he heard about the situation with the cave, he thought that it was unfair. So he decided to enter the cave and confront the monster. The young man asked for some help, but everyone was so afraid that not a single person approached the mouth of the cave with him. He went inside, finding his way with a torch, and calling out to the monster, wanting to talk with it and discuss the situation. At first, the monster had a good long laugh, and the young man followed the sound of the monster's voice. But then the monster went quiet,and the young man had to carry on, not knowing in which direction to go.

Finally he arrived at a huge cavern. At the bottom of the cavern he thought he could make out the figure of the monster, and as he approached it, he felt that something hit him hard on his back. This pushed him forward towards a hole in the rock. He couldn't avoid it, and fell through. Believing that he was about to die, he let out one last cry. Then he heard the great guffaws. 

-""Darn it, I think the monster has swallowed me,"" 

he said, whilst falling.

However, as he fell, he heard music, and voices. They got clearer, and when he made a soft landing at the bottom, he heard a group of people shout: 

-""Surprise!!""

Hardly believing it, he found himself right in the middle of a big party. The partygoers were all those people who had never returned to the town. They explained to him that this place had been the idea of an old mayor of the town. That mayor had tried to accomplish great things, but was always held back by the fears of the people around him. So the mayor invented the story of the monster to demonstrate to people how such an attitude was so limiting. So the young man stayed there, enjoying the party and the company of all those who had dared to approach the cave.

And what about the town? In the town they still believe that to enter the Cave of Fear is the worst of all punishments..."
The Respectful Prince and the Dwarves,,Respect,"Once upon a time, the King's two Princes were playing in a forest, and - meeting one at a time -, they came across four dwarves who asked them to be more careful.

The first dwarf had a headache and he asked them not to shout. The second dwarf was painting a landscape, and he asked the children to move away because they were blocking out the light. The third dwarf was doing a giant jigsaw puzzle in the middle of the road, and he asked the children not to tread on it. The fourth dwarf was watching a butterfly and he asked them not to frighten it away.

The Prince who respected others did as the dwarves asked, but the disrespectful Prince ignored the dwarves´ pleas, and kept bothering them. In the evening, both boys had become separated and lost. They needed to get back to the palace quickly.

Each of them separately came across the four dwarves again, and asked for their help. They refused to help the disrespectful Prince, but with the respectful Prince they did whatever they could to help, and took him along some secret tracks which led right to the palace.

The other Prince arrived much later, and was punished for it by his family. He now understood that it's much better to respect and care for everyone's needs if you want to have friends."
The Boy Who Always Won,,Honesty,"There was once a boy who liked nothing more in the world than to win. He loved winning at whatever it may be: football, cards, video games... everything. And because he couldn't stand losing, he had become an expert in all kinds of tricks and cheating. He could play tricks in practically every situation, without being noticed; even in video games or playing alone. He could win without ever being caught.

He won so many times that everyone saw him as the champion. It meant that almost no one wanted to play with him, he was just too far ahead of everyone. One person who did play with him was a poor boy, who was a bit younger. The champion really enjoyed himself at the poor boy's expense, always making the boy look ridiculous.

But the champion ended up getting bored with all this. He needed something more, so he decided to apply for the national video games championship, where he would find some competitors worthy of himself. At the championship he was keen to show his skills but, when he tried using all those tricks and cheats he knew from a thousand different games, well... none of them worked. The competition judges had prevented any of the tricks from working.

He felt terribly embarrassed: he was a good player, but without his cheats, he couldn't beat a single competitor. He was soon eliminated, and sat there, sad and pensive. Finally, they announced the name of the tournament champion. It was the poor boy from home. The one he had always beaten!
Our boy realised that the poor boy had been much cleverer than himself. It hadn't mattered to the poor boy if he lost and got a good beating, because what he was really doing was learning from each of his defeats. And from so much learning he had been transformed into a real master.

From then on, the boy who had loved winning gave up wanting to win all the time because he realized he could be a good player if he acted honestly without cheating. He was quite happy to lose sometimes, because that was when he would learn how to win on the really important occasions."
The Respectful Prince and the Dwarves,,Friendship,"Once upon a time, the King's two Princes were playing in a forest, and - meeting one at a time -, they came across four dwarves who asked them to be more careful.

The first dwarf had a headache and he asked them not to shout. The second dwarf was painting a landscape, and he asked the children to move away because they were blocking out the light. The third dwarf was doing a giant jigsaw puzzle in the middle of the road, and he asked the children not to tread on it. The fourth dwarf was watching a butterfly and he asked them not to frighten it away.

The Prince who respected others did as the dwarves asked, but the disrespectful Prince ignored the dwarves´ pleas, and kept bothering them. In the evening, both boys had become separated and lost. They needed to get back to the palace quickly.

Each of them separately came across the four dwarves again, and asked for their help. They refused to help the disrespectful Prince, but with the respectful Prince they did whatever they could to help, and took him along some secret tracks which led right to the palace.

The other Prince arrived much later, and was punished for it by his family. He now understood that it's much better to respect and care for everyone's needs if you want to have friends."
Anna's story,,Respect,"There was a girl called Anna, who was studying in Esmarth Vil, a primary school in the United States.

She was the most hardworking girl at her school, her marks were higher than the others. She was the best, but nobody wanted to be her friend. They didn´t want to play with her and teased her.

One day, the teacher set an exam and a boy called Robert signed his exam using Ana´s name. So, when the teacher returned all the exams, everybody was shocked. Anna found out she had failed the exam, and the other kids were happy of this.

 
The next day, when Anna arrived at school all the kids wanted to be with her and invited her to play with them. Suddenly, when Anna was playing with the other children,the teacher appeared to inform her that there had been a mistake, and she hadn´t failed.

The teacher explained them what had happened and afterwould, they all stopped playing with Anna.

One day, the First Lady of the United States went to visit the school. She wanted to visit every child in every schools. During her visit, the First Lady saw that Anna was crying and so she said:

– “What is your name?”

The girl answered: “Anna”

And the First Lady asked her why was she crying, Anna explained what had happened. She told her how she was lonely and how the other kids didn’t like her just because she was the most hardworking at the school and she always got good results.

Then, the First Lady took the school microphone and told stories about her childhood that were similar to Anna´s.

After her speech all the children realized that they had been rude to Anna, and felt sorry. They should have been happy to have a friend that got such good marks and made such a big effort at school.

Then they followed Anna’s example and their marks began to improve with Anna's help and they always played together without ignoring her or anyone else.

From then on they were very happy and learned the lesson to respect and care for others.

And that is the end of the story…"
Anna's story,,Friendship,"There was a girl called Anna, who was studying in Esmarth Vil, a primary school in the United States.

She was the most hardworking girl at her school, her marks were higher than the others. She was the best, but nobody wanted to be her friend. They didn´t want to play with her and teased her.

One day, the teacher set an exam and a boy called Robert signed his exam using Ana´s name. So, when the teacher returned all the exams, everybody was shocked. Anna found out she had failed the exam, and the other kids were happy of this.

 
The next day, when Anna arrived at school all the kids wanted to be with her and invited her to play with them. Suddenly, when Anna was playing with the other children,the teacher appeared to inform her that there had been a mistake, and she hadn´t failed.

The teacher explained them what had happened and afterwould, they all stopped playing with Anna.

One day, the First Lady of the United States went to visit the school. She wanted to visit every child in every schools. During her visit, the First Lady saw that Anna was crying and so she said:

– “What is your name?”

The girl answered: “Anna”

And the First Lady asked her why was she crying, Anna explained what had happened. She told her how she was lonely and how the other kids didn’t like her just because she was the most hardworking at the school and she always got good results.

Then, the First Lady took the school microphone and told stories about her childhood that were similar to Anna´s.

After her speech all the children realized that they had been rude to Anna, and felt sorry. They should have been happy to have a friend that got such good marks and made such a big effort at school.

Then they followed Anna’s example and their marks began to improve with Anna's help and they always played together without ignoring her or anyone else.

From then on they were very happy and learned the lesson to respect and care for others.

And that is the end of the story…"
The Gossips,,Respect,"Sarah and Mark were a pair of champion gossips. They were always spying, and poking their noses into anything and everything. And how they loved to broadcast what they had discovered - which was a lot, and very little of it good. People had often explained to them the importance of respecting others' privacy, but they would just reply, ""If they had nothing to hide then they wouldn't mind. We have nothing to hide, so we couldn't care less.""

Then, one day, a poor, bad-tempered wizard with very few powers, crossed their path. Sarah and Mark managed to break one of the wizard's tricks, so the wizard decided to get his revenge by using a strange spell which would give all the children a good laugh, before he moved on. The next day, when Sarah and Mark were sitting in class, the emergency speaker came on. It was the wizard's voice. He said,

""Ding dong dinnnng! Ding dong dinnnng! Attention! Sarah Jones thinks Robert is very good-looking, and she'd like to be his girlfriend. Ding dong dinnnng!”

How embarrassed Sarah felt! She hadn't told anyone how she felt about Robert, and she turned as red as a ripe tomato. There was quite a commotion in class, and the noise only subsided when the speaker came on again: 

""Attention! Right now, Mark Smith is thinking that Anthony Wilson is a fat and rather foolish gorilla, and that if he - Smith - were a bit bigger, he'd give Wilson a seriously good beating. Ding dong dinnnng!""

Mark dearly wanted to run out of the classroom to hide.

And so it went. Throughout the day the speaker would come on and reveal the innermost thoughts of our two little gossips. With every passing minute their trouble and embarrassment were mounting. So much so, that eventually the two of them went over to the speaker, crying with anger, and demanding that the voice stop reporting their thoughts.

""If you have nothing to hide then it shouldn't bother you,"" answered the wizard.

""Of course we have nothing to hide!"" they answered, ""but those are private thoughts!"" And their complaints continued.

After a while the complaints petered out, and Sarah and Mark looked at each other. They had finally realised that what the wizard was now doing was exactly what they themselves had been doing all their lives. After they promised not to gossip any more about other people's private lives, the wizard removed the spell and said goodbye to them all.

And every child in that class long remembered that hilarious morning at school, where they were given a most effective lesson on the importance of respecting others' privacy."
Pillars of the Earth,,Respect,"There was once a boy who always treated his mother horribly, shouting at her, insulting her. It didn't matter to him how sad he made her.

One day, without knowing how, he woke up in an immense and lonely place. He was sitting on a rock from which four huge pillars rose up into the sky, appearing to support the entire world.

He was all alone, but soon an enormous flock of crows with beaks made of steel landed on the rock, and set about violently chipping away at it.

After the crows left, a mysterious door in one of the pillars opened, and through it came a charming and pretty girl.

-""Have you come to help us? That's great! We need all the people we can get.""

The boy was puzzled, and spotting his confusion, the little girl explained.

-""So you don't know where you are? This is the centre of the Earth. These pillars support the whole planet, and this rock keeps the pillars in place.""

-""And how can I help you?"" 

said the boy, confused.

-""Well, to help look after the rock, of course. Anyone can see by your face that you're the best person for the job,"" 

answered the girl, 

-""The birds you saw are only increasing in number, and if we don't look after this rock it will eventually crumble and everything will come crashing down.”

-""And what do you see in my face?!"" 

exclaimed the boy, surprised. 

-""I've never looked after a rock in my whole life!""

-""But you'll learn how, even if you've never done it. Here, look in this mirror,"" 

said the girl, holding one in front of the boy's face.

The boy could clearly see he now had the face of a bird, and his nose was gradually turning into steel. There he stood, shocked and worried, not a word passing his lips.

-""All those crows used to be children like you and I, "" 

explained the girl, 

-""but they decided not to look after the rock. Now that they're older they've turned into evil birds; all they do is destroy. Up to now, you haven't done much to look after it, but now that you know, will you help me to preserve all this?"" 

She said all this with a smile, taking his hand in hers.

The boy still didn't quite understand all this. He looked closely at the pillars and could see that each one was made of thousands and thousands of little figurines, representing the best virtues: sincerity, effort, generosity...

Closely inspecting the ground beneath him, he could see that the enormous rock was made up of little instances of children showing respect to their mothers, grandparents, brothers, sisters, and old people.

What the crows were trying to do was cover over these instances by carving out scenes of shouting and insults. Next to his feet, he could see his own little carving, representing the last time he shouted at his mother. That image, in such a strange place, made him realise that the only thing keeping the columns standing was respect. Respect was sustaining the world.

The boy, filled with regret, stayed there and looked after the rock for many days. He carried out his task joyfully, going without sleep to repel every crow attack. He carried on until, exhausted by his efforts, he collapsed; completely spent.

When he woke he was back in his bed at home, and he didn't know whether it had all been a dream. However, what he was now sure of was that no crow would ever again get the chance to carve a picture of him shouting at his mother."
The Evil Goblins,,Respect,"Once upon a time, there was a gang of evil goblins who lived in a forest. They spent a lot of their time making fun of a poor old man who could now hardly move, see, or hear. They showed no respect for his age. 

The situation became so extreme that the Great Wizard decided to teach the goblins a lesson. He cast a spell, and from that moment, every insult they directed at the old man made the old man better, but had the opposite effect on the goblin who was doing the insulting. Of course, the goblins knew nothing about what was happening. The more they called the man an ""old fool"", the younger and sharper of mind he became, while the goblin who had shouted at him aged rapidly, and became a little more foolish.

As time went on, those evil goblins were becoming terribly old, ugly, stupid, and clumsy... without even realising it. Finally, the Great Wizard allowed the goblins to see themselves, and, terrified, they saw that they had turned into the disgusting creatures we now know as trolls.

They had been so busy picking on the old man, that it had made them incapable of noticing that their own acts were turning them into monsters. And when they finally realised what their acts of disrespect had done, it was too late."
"Dayane, the Bad Girl",,Respect,"Once upon a time there was a naughty girl called Dayane, she was very disobedient she always argues with her mum , never obeyed her mum, and her mum wanted to teach her a lesson. She punished her every time she behaved badly, but Dayana continued the same as always and didn’t care about the consequences.

She knew it was for her own good. Her mum loved her and didn´t want anything bad to happen to her, thats why she always gave her advice.


One day, Dayane woke up very early. When her mum saw her she told her to sit on a wood chair. Dayane didn´t want to, so her mom asked her to take another chair, but the rebellious girl said:

– “No!”


The chair moved and broke and she fell over. Her mom looked at her and said, “I told you to be more respectful with your mum and  stop acting naughty”  and laughed.

“See, dear daughter, I don´t ask you to do things to torment you, I tell you to do things for your own good, because I love you so much. And I´m laughing because I warned you and you ignored me and you just continued to yell at me we will never reach an agreement . To obey is good, it is not a curse. Actually it is good, because I am showing you my love and you show me yours. If you don’t respect and obey me I won´t know if you really love me. See what I want to do if you don´t change. As you always say, you have the obligation to do what I tell you to do, and you say it´s unfair because you have the freedom of doing what you want because you are independent and you don´t like me taking you out of danger. But if I order you to do something it is for your own good. Imagine living with a rude daughter. You wouldn’t like it when you are an adult, cooking, paying expenses, working, nobody would like you if you were like that. If you keep behaving so badly,  I will help you to change to be a better person, if you do your part. We will work together to make you really happy, and I will be happy too if I see you doing well and if you become more respectful ”.

The girl´s eyes filled with tears because she knew that living far away would be difficult. She felt sorry and promised her mum she would change, and that she had deserved the punishment due to her bad behaviour with her mum .Moreover, she will be respectful of everyone. .

From that day on, daughter and mum worked on their good manners, better education and, in short, human values that she had to learn. They lived together always and were very happy."
A Child's Imagination,,Respect,"There was a boy called Mike who got along very well with the other children; Ruth Charlie and Eddy. They were all very good friends and respect and care for each other.

But one day, they had a fight. Nobody knew why this had happened because they played together every day and never had arguments.

It all started when they were trying to decide what to play. Each of them chose a different game. One of them decided to play football, another wanted to skip with a rope, and another wanted to play hide and seek.

they could not reach an agreement and so started to argue and they started to be rude to each other. One of them stopped the dispute quickly, saying:

– “don’t fight just because each of you have different ideas and  don't  be rude with each other. We can organize ourselves and play all the games. A different game every day, and then all of us will be happy“.

The kids realized that arguing was not good and were very sorry, because they were very good friends. They laughed at what had happened and played everyday as before.

They decided to invent different games every afternoon, and had so much fun using their imagination.
They never argued again, and were very happy because they respected each other."
A Child's Imagination,,Friendship,"There was a boy called Mike who got along very well with the other children; Ruth Charlie and Eddy. They were all very good friends and respect and care for each other.

But one day, they had a fight. Nobody knew why this had happened because they played together every day and never had arguments.

It all started when they were trying to decide what to play. Each of them chose a different game. One of them decided to play football, another wanted to skip with a rope, and another wanted to play hide and seek.

they could not reach an agreement and so started to argue and they started to be rude to each other. One of them stopped the dispute quickly, saying:

– “don’t fight just because each of you have different ideas and  don't  be rude with each other. We can organize ourselves and play all the games. A different game every day, and then all of us will be happy“.

The kids realized that arguing was not good and were very sorry, because they were very good friends. They laughed at what had happened and played everyday as before.

They decided to invent different games every afternoon, and had so much fun using their imagination.
They never argued again, and were very happy because they respected each other."
Drums in Space,,Respect,"Brenda Bongos was a happy, artistic girl, a girl with one big ambition - to play the drums in a band. But one big obstacle lay in her way. To be good enough to play in a band Brenda had to practice a lot, but she lived next-door to a lot of old people - many of them sick - in a care home. She knew that the sound of beating drums and crashing cymbals would really get on their nerves.

Brenda was a very good, respectful, girl. She always tried to find a way of practicing her drums without bothering other people. So, she had tried playing in the strangest places; a basement, a kitchen, an attic, and even in a shower. But it was no good; there was always someone it would annoy. However, determined to practice as much as she could, Brenda spent most of her time playing on books and boxes, and looking for new places to practice.

One day, while watching a science documentary on TV, she heard that sound cannot travel in space, because there’s no air. At that moment, Brenda Bongos decided to become a sort of musical astronaut.

With the help of a lot of time, a lot of books, and a lot of work, Brenda built a space bubble. This was a big glass ball connected to a machine which sucked out all the air inside. All that would be left inside was a drum kit and a chair. Brenda got into the space suit she had made, entered the bubble, turned on the machine, and...
She played those drums like a wild child!

It wasn't long before Brenda Bongos - 'The Musical Astronaut' - had become very famous. So many people came to see her play in her space bubble that she had to mount a pair of speakers so that everyone could listen to her play. Shortly afterwards she came out of the bubble and started giving concerts. Her fame spread so much that the government proposed that she form part of a unique space journey. Finally, Brenda was a real musical astronaut, and had gone far beyond her first ambition of playing drums in a band.

Years later, when they asked her how she had achieved all this, she thought for a moment, and said,
""If those old people next-door hadn't mattered so much to me, I wouldn't have gone to such lengths to find a solution, and none of this would have ever happened."""
